Location,Name,Lab,Master Block,Start,Class C,EXTERNAL_NETWORK_GATEWAY,EXTERNAL_NETWORK_CIDR,FLOATING_IP_START,FLOATING_IP_END
EWR,EWR001,1,147.75.105.48/28 ,48,147.75.105,147.75.105.49,147.75.105.48/29,147.75.105.50,147.75.105.55
EWR,EWR002,2,147.75.105.48/28 ,56,147.75.105,147.75.105.57,147.75.105.56/29,147.75.105.58,147.75.105.63
EWR,EWR003,3,147.75.193.224/28 ,224,147.75.193,147.75.193.225,147.75.193.224/29,147.75.193.226,147.75.193.231
EWR,EWR004,4,147.75.193.224/28 ,232,147.75.193,147.75.193.233,147.75.193.232/29,147.75.193.234,147.75.193.239
EWR,EWR005,5,147.75.195.192/28 ,192,147.75.195,147.75.195.193,147.75.195.192/29,147.75.195.194,147.75.195.199
EWR,EWR006,6,147.75.195.192/28 ,200,147.75.195,147.75.195.201,147.75.195.200/29,147.75.195.202,147.75.195.207
EWR,EWR007,7,147.75.105.112/28 ,112,147.75.105,147.75.105.113,147.75.105.112/29,147.75.105.114,147.75.105.119
EWR,EWR008,8,147.75.105.112/28 ,120,147.75.105,147.75.105.121,147.75.105.120/29,147.75.105.122,147.75.105.127
EWR,EWR009,9,147.75.67.96/27 ,96,147.75.67,147.75.67.97,147.75.67.96/29,147.75.67.98,147.75.67.103
EWR,EWR010,10,147.75.67.96/27 ,104,147.75.67,147.75.67.105,147.75.67.104/29,147.75.67.106,147.75.67.111
EWR,EWR011,11,147.75.67.96/27 ,112,147.75.67,147.75.67.113,147.75.67.112/29,147.75.67.114,147.75.67.119
EWR,EWR012,12,147.75.67.96/27 ,120,147.75.67,147.75.67.121,147.75.67.120/29,147.75.67.122,147.75.67.127
EWR,EWR013,13,147.75.66.224/27,224,147.75.66,147.75.66.225,147.75.66.224/29,147.75.66.226,147.75.66.231
EWR,EWR014,14,147.75.66.224/27,232,147.75.66,147.75.66.233,147.75.66.232/29,147.75.66.234,147.75.66.239
EWR,EWR015,15,147.75.66.224/27,240,147.75.66,147.75.66.241,147.75.66.240/29,147.75.66.242,147.75.66.247
EWR,EWR016,16,147.75.66.224/27,248,147.75.66,147.75.66.249,147.75.66.248/29,147.75.66.250,147.75.66.255
EWR,EWR017,17,147.75.67.128/25 ,128,147.75.67,147.75.67.129,147.75.67.128/29,147.75.67.130,147.75.67.135
EWR,EWR018,18,147.75.67.128/25 ,136,147.75.67,147.75.67.137,147.75.67.136/29,147.75.67.138,147.75.67.143
EWR,EWR019,19,147.75.67.128/25 ,144,147.75.67,147.75.67.145,147.75.67.144/29,147.75.67.146,147.75.67.151
EWR,EWR020,20,147.75.67.128/25 ,152,147.75.67,147.75.67.153,147.75.67.152/29,147.75.67.154,147.75.67.159
EWR,EWR021,21,147.75.67.128/25 ,160,147.75.67,147.75.67.161,147.75.67.160/29,147.75.67.162,147.75.67.167
EWR,EWR022,22,147.75.67.128/25 ,168,147.75.67,147.75.67.169,147.75.67.168/29,147.75.67.170,147.75.67.175
EWR,EWR023,23,147.75.67.128/25 ,176,147.75.67,147.75.67.177,147.75.67.176/29,147.75.67.178,147.75.67.183
EWR,EWR024,24,147.75.67.128/25 ,184,147.75.67,147.75.67.185,147.75.67.184/29,147.75.67.186,147.75.67.191
EWR,EWR025,25,147.75.67.128/25 ,192,147.75.67,147.75.67.193,147.75.67.192/29,147.75.67.194,147.75.67.199
EWR,EWR026,26,147.75.67.128/25 ,200,147.75.67,147.75.67.201,147.75.67.200/29,147.75.67.202,147.75.67.207
EWR,EWR027,27,147.75.67.128/25 ,208,147.75.67,147.75.67.209,147.75.67.208/29,147.75.67.210,147.75.67.215
EWR,EWR028,28,147.75.67.128/25 ,216,147.75.67,147.75.67.217,147.75.67.216/29,147.75.67.218,147.75.67.223
EWR,EWR029,29,147.75.67.128/25 ,224,147.75.67,147.75.67.225,147.75.67.224/29,147.75.67.226,147.75.67.231
EWR,EWR030,30,147.75.67.128/25 ,232,147.75.67,147.75.67.233,147.75.67.232/29,147.75.67.234,147.75.67.239
EWR,EWR031,31,147.75.67.128/25 ,240,147.75.67,147.75.67.241,147.75.67.240/29,147.75.67.242,147.75.67.247
EWR,EWR032,32,147.75.67.128/25 ,248,147.75.67,147.75.67.249,147.75.67.248/29,147.75.67.250,147.75.67.255
